Tag	PUBMED_Paper_Link	Pheno_File	Source_File	Portal	Consortium	Link	Notes	Header	Hidden	Keep	EFO	HPO	Description	Phenotype	Sample_Size	Population	Date	Declared_Effect_Allele	Genome_Reference	Binary	Cases	abbreviation	new_abbreviation	new_Phenotype	Category
Astle_et_al_2016_Monocyte_count	https://www.ncbi.nlm.nih.gov/pubmed/27863252	mono_build37_170721_20161212.tsv.gz	mono_build37_170721_20161212.tsv.gz	http://www.ebi.ac.uk/gwas/downloads/summary-statistics	Astle_et_al_2016	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004625/mono_build37_170721_20161212.tsv.gz	NA	VARIANT ID CHR BP REF ALT ALT_MINOR DIRECTION EFFECT SE P MLOG10P ALT_FREQ MA_FREQ	NA	Yes	EFO_0005091	NA	NA	Monocyte count	173480	EUR	NA	NA	b37/hg19	0	NA	BMC	MC	Monocyte_Count	Blood
Astle_et_al_2016_Myeloid_white_cell_count	https://www.ncbi.nlm.nih.gov/pubmed/27863252	myeloid_wbc_build37_169219_20161212.tsv.gz	myeloid_wbc_build37_169219_20161212.tsv.gz	http://www.ebi.ac.uk/gwas/downloads/summary-statistics	Astle_et_al_2016	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004626/myeloid_wbc_build37_169219_20161212.tsv.gz	NA	VARIANT ID CHR BP REF ALT ALT_MINOR DIRECTION EFFECT SE P MLOG10P ALT_FREQ MA_FREQ	NA	Yes	EFO_0007988	NA	NA	Myeloid white cell count	173480	EUR	NA	NA	b37/hg19	0	NA	BYC	MWBC	Myeloid_White_Cell_Count	Blood
Astle_et_al_2016_Neutrophil_count	https://www.ncbi.nlm.nih.gov/pubmed/27863252	neut_build37_170702_20161212.tsv.gz	neut_build37_170702_20161212.tsv.gz	http://www.ebi.ac.uk/gwas/downloads/summary-statistics	Astle_et_al_2016	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004629/neut_build37_170702_20161212.tsv.gz	NA	VARIANT ID CHR BP REF ALT ALT_MINOR DIRECTION EFFECT SE P MLOG10P ALT_FREQ MA_FREQ	NA	Yes	EFO_0004833	NA	NA	Neutrophil count	173480	EUR	NA	NA	b37/hg19	0	NA	BNC	NC	Neutrophil_Count	Blood
Astle_et_al_2016_Platelet_count	https://www.ncbi.nlm.nih.gov/pubmed/27863252	plt_build37_166066_20161212.tsv.gz	plt_build37_166066_20161212.tsv.gz	http://www.ebi.ac.uk/gwas/downloads/summary-statistics	Astle_et_al_2016	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004603/plt_build37_166066_20161212.tsv.gz	NA	VARIANT ID CHR BP REF ALT ALT_MINOR DIRECTION EFFECT SE P MLOG10P ALT_FREQ MA_FREQ	NA	Yes	EFO_0004309	NA	NA	Platelet count	173480	EUR	NA	NA	b37/hg19	0	NA	BPC	PLT	Platelet_Count	Blood
Astle_et_al_2016_Red_blood_cell_count	https://www.ncbi.nlm.nih.gov/pubmed/27863252	rbc_build37_172952_20161212.tsv.gz	rbc_build37_172952_20161212.tsv.gz	http://www.ebi.ac.uk/gwas/downloads/summary-statistics	Astle_et_al_2016	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004601/rbc_build37_172952_20161212.tsv.gz	NA	VARIANT ID CHR BP REF ALT ALT_MINOR DIRECTION EFFECT SE P MLOG10P ALT_FREQ MA_FREQ	NA	Yes	EFO_0004305	NA	NA	Red blood cell count	173480	EUR	NA	NA	b37/hg19	0	NA	BRC	RBC	Red_Blood_Cell_Count	Blood
Astle_et_al_2016_Reticulocyte_count	https://www.ncbi.nlm.nih.gov/pubmed/27863252	ret_build37_170641_20161212.tsv.gz	ret_build37_170641_20161212.tsv.gz	http://www.ebi.ac.uk/gwas/downloads/summary-statistics	Astle_et_al_2016	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004622/ret_build37_170641_20161212.tsv.gz	NA	VARIANT ID CHR BP REF ALT ALT_MINOR DIRECTION EFFECT SE P MLOG10P ALT_FREQ MA_FREQ	NA	Yes	EFO_0007986	NA	NA	Reticulocyte count	173480	EUR	NA	NA	b37/hg19	0	NA	BTC	RET	Reticulocyte_Count	Blood
Astle_et_al_2016_Sum_basophil_neutrophil_counts	https://www.ncbi.nlm.nih.gov/pubmed/27863252	baso_neut_sum_build37_170143_20161212.tsv.gz	baso_neut_sum_build37_170143_20161212.tsv.gz	http://www.ebi.ac.uk/gwas/downloads/summary-statistics	Astle_et_al_2016	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004620/baso_neut_sum_build37_170143_20161212.tsv.gz	NA	VARIANT ID CHR BP REF ALT ALT_MINOR DIRECTION EFFECT SE P MLOG10P ALT_FREQ MA_FREQ	NA	Yes	EFO_0004833	NA	NA	Sum basophil neutrophil counts	173480	EUR	NA	NA	b37/hg19	0	NA	BSBNC	BNC	Sum_Basophil_Neutrophil_Count	Blood
Astle_et_al_2016_Sum_eosinophil_basophil_counts	https://www.ncbi.nlm.nih.gov/pubmed/27863252	eo_baso_sum_build37_171771_20161212.tsv.gz	eo_baso_sum_build37_171771_20161212.tsv.gz	http://www.ebi.ac.uk/gwas/downloads/summary-statistics	Astle_et_al_2016	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004624/eo_baso_sum_build37_171771_20161212.tsv.gz	NA	VARIANT ID CHR BP REF ALT ALT_MINOR DIRECTION EFFECT SE P MLOG10P ALT_FREQ MA_FREQ	NA	Yes	EFO_0004842	NA	NA	Sum eosinophil basophil counts	173480	EUR	NA	NA	b37/hg19	0	NA	BSEBC	EBC	Sum_Eosinophil_Basophil_Count	Blood
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	https://www.ncbi.nlm.nih.gov/pubmed/27863252	neut_eo_sum_build37_170384_20161212.tsv.gz	neut_eo_sum_build37_170384_20161212.tsv.gz	http://www.ebi.ac.uk/gwas/downloads/summary-statistics	Astle_et_al_2016	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004613/neut_eo_sum_build37_170384_20161212.tsv.gz	NA	VARIANT ID CHR BP REF ALT ALT_MINOR DIRECTION EFFECT SE P MLOG10P ALT_FREQ MA_FREQ	NA	Yes	EFO_0004842	NA	NA	Sum neutrophil eosinophil counts	173480	EUR	NA	NA	b37/hg19	0	NA	BSNEC	NEC	Sum_Neutrophil_Eosinophil_Count	Blood
Astle_et_al_2016_White_blood_cell_count	https://www.ncbi.nlm.nih.gov/pubmed/27863252	wbc_build37_172435_20161212.tsv.gz	wbc_build37_172435_20161212.tsv.gz	http://www.ebi.ac.uk/gwas/downloads/summary-statistics	Astle_et_al_2016	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/AstleWJ_27863252_GCST004610/wbc_build37_172435_20161212.tsv.gz	NA	VARIANT ID CHR BP REF ALT ALT_MINOR DIRECTION EFFECT SE P MLOG10P ALT_FREQ MA_FREQ	NA	Yes	EFO_0004308	NA	NA	White blood cell count	173480	EUR	NA	NA	b37/hg19	0	NA	BWC	WBC	White_Blood_Cell_Count	Blood
CARDIoGRAM_C4D_CAD_ADDITIVE	http://www.ncbi.nlm.nih.gov/pubmed/26343387	cad.add.160614.website.txt.gz	cad.additive.Oct2015.pub.zip	http://www.cardiogramplusc4d.org/downloads/	CARDIoGRAM_C4D	ftp://ftp.sanger.ac.uk/pub/cardiogramplusc4d/2015/cad.additive.Oct2015.pub.zip	NA	NA	NA	Yes	EFO_0000378	HP:0001677	NA	Coronary Artery Disease (additive model)	184305	EUR:SAS:EAS:AFR:AMR	10/6/2015	effect_allele	b36/hg18	1	60801	CAD	CAD	Coronary_Artery_Disease	Cardiometabolic
CNCR_Insomnia_all	https://www.ncbi.nlm.nih.gov/pubmed/28604731	Hammerschlag_NatGenet2017_insomnia_sumstats-full_090617.txt.gz	Hammerschlag_NatGenet2017_insomnia_sumstats-full_090617.txt.gz	https://ctg.cncr.nl/	CNCR-CTG	https://ctg.cncr.nl/documents/p1651/Hammerschlag_NatGenet2017_insomnia_sumstats-full_090617.txt.gz	NA	SNP UNIQUE_ID CHR POS A1 A2 EAF OR BETA SE P N_analyzed N_cases N_controls INFO	NA	Yes	EFO_0004698	NA	NA	Insomnia in both sexes	113006	NA	06/12/2017	A1	b37/hg19	1	32384	NSL	INSOMN	Insomnia_In_Both_Sexes	Psychiatric_neurologic
EAGLE_Eczema	NA	EAGLE_AD_GWAS_results_2015.txt.gz	EAGLE_AD_GWAS_results_2015.txt	https://data.bris.ac.uk/data/dataset/28uchsdpmub118uex26ylacqm	EAGLE	http://data.bris.ac.uk/datasets/28uchsdpmub118uex26ylacqm/EAGLE_AD_GWAS_results_2015.txt.gz	NA	NA	NA	Yes	NA	HP:0000964	NA	Eczema	116863	EUR	NA	NA	b37/hg19	1	21399	ECZ	ECZ	Eczema	Allergy
EGG_BW3_EUR	https://www.ncbi.nlm.nih.gov/pubmed/27680694	BW3_EUR_summary_stats.txt.gz	BW3_EUR_summary_stats.txt.gz	http://egg-consortium.org/	EGG	http://mccarthy.well.ox.ac.uk/publications/2016/EggBirthWeight_Nature/BW3_EUR_summary_stats.txt.gz	NA	NA	Yes	Yes	EFO_0004344	NA	NA	Birth Weight	143677	EUR	11/30/2016	NA	b37/hg19	0	NA	EBW	BW	Birth_Weight	Anthropometric
ENIGMA_Intracraneal_Volume	https://www.ncbi.nlm.nih.gov/pubmed/25607358	ENIGMA2_ICV_Combined_GenomeControlled_Jan23.tbl.gz	ENIGMA2_ICV_Combined_GenomeControlled_Jan23.tbl.gz	http://enigma.usc.edu/	ENIGMA	http://enigma.ini.usc.edu/wp-content/uploads/E2_EVIS/ENIGMA2_ICV_Combined_GenomeControlled_Jan23.tbl.gz	NA	RSID CHR_BP_hg19b37 Effect_Allele Non_Effect_Allele Freq_European_1000Genomes Effect_Beta StdErr Pvalue N	NA	Yes	EFO_0004886	NA	NA	Intracraneal Volume	30717	EUR	NA	NA	b37/hg19	0	NA	INV	ICV	Intracraneal_Volume	Anthropometric
GEFOS_Forearm	http://www.ncbi.nlm.nih.gov/pubmed/26367794	fa2stu.MAF0_.005.pos_.out_.gz	fa2stu.MAF0_.005.pos_.out_.gz	http://www.gefos.org/?q=content/data-release-2015	GEFOS	http://www.gefos.org/sites/default/files/fa2stu.MAF0_.005.pos_.out_.gz	NA	NA	Yes	Yes	EFO_0003923	NA	NA	Bone Mineral Density (Forearm)	49988	EUR	10/22/2015	reference_allele	b37/hg19	0	NA	GFA	BMD	Bone_Mineral_Density	Anthropometric
GIANT_HEIGHT	http://www.ncbi.nlm.nih.gov/pubmed/25282103	GIANT_HEIGHT_Wood_et_al_2014_publicrelease_HapMapCeuFreq.txt.gz	NA	http://www.broadinstitute.org/collaboration/giant/index.php/GIANT_consortium_data_files	GIANT	https://www.broadinstitute.org/collaboration/giant/images/0/01/GIANT_HEIGHT_Wood_et_al_2014_publicrelease_HapMapCeuFreq.txt.gz	NA	NA	NA	Yes	EFO_0004339	NA	NA	Height	253288	EUR	10/6/2014	Allele1	b37/hg19	0	NA	GHE	HEIGHT	Height	Anthropometric
IBD.EUR.Crohns_Disease	http://www.ncbi.nlm.nih.gov/pubmed/26192919	EUR.CD.gwas.assoc.gz	EUR.CD.gwas.assoc.gz	http://www.ibdgenetics.org/	IBD	ftp://ftp.sanger.ac.uk/pub/consortia/ibdgenetics/iibdgc-trans-ancestry-summary-stats.tar	NA	NA	NA	Yes	EFO_0003767	HP:0002037	NA	Crohn's Disease	20833	EUR	8/19/2015	NA	b37/hg19	1	5956	ICD	CD	Crohns_Disease	Immune
IBD.EUR.Inflammatory_Bowel_Disease	http://www.ncbi.nlm.nih.gov/pubmed/26192919	EUR.IBD.gwas.assoc.gz	EUR.IBD.gwas.assoc.gz	http://www.ibdgenetics.org/	IBD	ftp://ftp.sanger.ac.uk/pub/consortia/ibdgenetics/iibdgc-trans-ancestry-summary-stats.tar	NA	NA	NA	Yes	EFO_0003767	HP:0002037	NA	Inflammatory Bowel Disease	34652	EUR	8/19/2015	NA	b37/hg19	1	12882	IBD	IBD	Inflammatory_Bowel_Disease	Immune
IBD.EUR.Ulcerative_Colitis	http://www.ncbi.nlm.nih.gov/pubmed/26192919	EUR.UC.gwas.assoc.gz	EUR.UC.gwas.assoc.gz	http://www.ibdgenetics.org/	IBD	ftp://ftp.sanger.ac.uk/pub/consortia/ibdgenetics/iibdgc-trans-ancestry-summary-stats.tar	NA	NA	NA	Yes	EFO_0003767	HP:0002037	NA	Ulcerative Colitis	27432	EUR	8/19/2015	NA	b37/hg19	1	6968	IUC	UC	Ulcerative_Colitis	Immune
IGAP_Alzheimer	http://www.ncbi.nlm.nih.gov/pubmed/24162737	IGAP_stage_1.txt.gz	IGAP_summary_statistics.zip	http://web.pasteur-lille.fr/en/recherche/u744/igap/igap_download.php	IGAP	http://web.pasteur-lille.fr/en/recherche/u744/igap/igap_download.php	NA	NA	NA	Yes	EFO_0000249	HP:0002511	NA	Alzheimer	54162	EUR	7/1/2014	Effect_allele	b37/hg19	1	17008	IALZ	AD	Alzheimers_Disease	Psychiatric_neurologic
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	http://www.ncbi.nlm.nih.gov/pubmed/26502338	hg19_gwas_sle_bentham_4_20_0.tab	hg19_gwas_sle_bentham_4_20_0.tab	https://www.immunobase.org/downloads/protected_data/GWAS_Data/	IMMUNOBASE	https://www.immunobase.org/downloads/protected_data/GWAS_Data/hg19_gwas_sle_bentham_4_20_0.tab	NA	NA	NA	Yes	EFO_0002690	NA	NA	Systemic Lupus Erythematosus	23210	EUR	NA	NA	b37/hg19	1	7219	ISL	SLE	Systemic_Lupus_Erythematosus	Immune
Jones_et_al_2016_Chronotype	https://www.ncbi.nlm.nih.gov/pubmed/27494321	Chronotype_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz	Chronotype_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt	http://www.t2diabetesgenes.org/data/	Jones_et_al_2016	http://www.t2diabetesgenes.org/datasets/Chronotype_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz	NA	NA	NA	Yes	NA	NA	NA	Chronotype	128266	EUR	08/05/2016	NA	b37/hg19	0	NA	JCH	CHRONO	Chronotype	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	https://www.ncbi.nlm.nih.gov/pubmed/27494321	Sleep_Duration_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz	Sleep_Duration_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt	http://www.t2diabetesgenes.org/data/	Jones_et_al_2016	http://www.t2diabetesgenes.org/datasets/Sleep_Duration_SIN_BOLT.output_plus.metrics_MAF0.001_HWE1E-5_qual0.4.txt.gz	NA	NA	NA	Yes	EFO_0005271	NA	NA	Sleep Duration	128266	EUR	08/05/2016	NA	b37/hg19	0	NA	JSD	SLEEP	Sleep_Duration	Psychiatric_neurologic
MAGIC_FastingGlucose	http://www.ncbi.nlm.nih.gov/pubmed/20081858	MAGIC_FastingGlucose.txt	MAGIC_FastingGlucose.txt	http://www.magicinvestigators.org/downloads/	MAGIC	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_FastingGlucose.txt	inferred from supplementary file in paper NCBI 35	NA	NA	NA	EFO_0004465	NA	NA	Fasting Glucose	46186	EUR	8/8/2011	effect_allele	b35/hg17	0	NA	MFG	FG	Fasting_Glucose	Cardiometabolic
MAGIC_ln_FastingInsulin	http://www.ncbi.nlm.nih.gov/pubmed/20081858	MAGIC_ln_FastingInsulin.txt	MAGIC_ln_FastingInsulin.txt	http://www.magicinvestigators.org/downloads/	MAGIC	ftp://ftp.sanger.ac.uk/pub/magic/MAGIC_ln_FastingInsulin.txt	inferred from supplementary file in paper NCBI 35	NA	NA	NA	EFO_0004466	NA	NA	Fasting Insulin	38238	EUR	8/8/2011	effect_allele	b35/hg17	0	NA	MFI	INSUL	Fasting_Insulin	Cardiometabolic
MAGNETIC_CH2.DB.ratio	http://www.ncbi.nlm.nih.gov/pubmed/27005778	Summary_statistics_MAGNETIC_CH2.DB.ratio.txt.gz	Summary_statistics_MAGNETIC_CH2.DB.ratio.txt	http://www.computationalmedicine.fi/data#NMR_GWAS	MAGNETIC	https://computationalmedicine.blob.core.windows.net/nmrgwas/Summary_statistics_MAGNETIC_CH2.DB.ratio.txt.gz?se=2016-06-23&sr=b&sp=r&sig=xT7LfiohtVu8z7L8W6oyKo4eudsOoyrAbCc7CMo6m5s%3D&sv=2014-02-14	NA	NA	NA	Yes	NA	NA	NA	Average number of methylene groups per a double bond	24154	EUR	NA	NA	b36/hg18	0	NA	MCD	CH2	CH2DB_NMR	Cardiometabolic
MAGNETIC_HDL.C	http://www.ncbi.nlm.nih.gov/pubmed/27005778	Summary_statistics_MAGNETIC_HDL.C.txt.gz	Summary_statistics_MAGNETIC_HDL.C.txt	http://www.computationalmedicine.fi/data#NMR_GWAS	MAGNETIC	https://computationalmedicine.blob.core.windows.net/nmrgwas/Summary_statistics_MAGNETIC_HDL.C.txt.gz?se=2016-06-23&sr=b&sp=r&sig=r18jfrRnXNLMgnJpf1TchLj6PeRYAcHNvU5OS3wT%2BmQ%3D&sv=2014-02-14	NA	NA	NA	NA	NA	NA	NA	Total cholesterol in HDL	19270	EUR	NA	NA	b36/hg18	0	NA	MHDL	HDLC	HDL_Cholesterol_NMR	Cardiometabolic
MAGNETIC_IDL.TG	http://www.ncbi.nlm.nih.gov/pubmed/27005778	Summary_statistics_MAGNETIC_IDL.TG.txt.gz	Summary_statistics_MAGNETIC_IDL.TG.txt	http://www.computationalmedicine.fi/data#NMR_GWAS	MAGNETIC	https://computationalmedicine.blob.core.windows.net/nmrgwas/Summary_statistics_MAGNETIC_IDL.TG.txt.gz?se=2016-06-23&sr=b&sp=r&sig=9ZfTtoW4MfZgyHl2XR89EaKa6lj%2Fjb3s9QHxMfMu9vM%3D&sv=2014-02-14	NA	NA	NA	NA	NA	NA	NA	Triglycerides in IDL	21559	EUR	NA	NA	b36/hg18	0	NA	MIDL	IDL	Triglycerides_NMR	Cardiometabolic
MAGNETIC_LDL.C	http://www.ncbi.nlm.nih.gov/pubmed/27005778	Summary_statistics_MAGNETIC_LDL.C.txt.gz	Summary_statistics_MAGNETIC_LDL.C.txt	http://www.computationalmedicine.fi/data#NMR_GWAS	MAGNETIC	https://computationalmedicine.blob.core.windows.net/nmrgwas/Summary_statistics_MAGNETIC_LDL.C.txt.gz?se=2016-06-23&sr=b&sp=r&sig=VIFr%2F%2B6mTZpVFAoQeFeoIW5pn2RQeQ2MlLo9KocXAWY%3D&sv=2014-02-14	NA	NA	NA	NA	NA	NA	NA	Total cholesterol in LDL	13527	EUR	NA	NA	b36/hg18	0	NA	MLDL	LDLC	LDL_Cholesterol_NMR	Cardiometabolic
PGC_ADHD_EUR_2017	NA	adhd_eur_jun2017.gz	adhd_eur_jun2017.gz	https://www.med.unc.edu/	PGC	https://www.med.unc.edu/pgc/results-and-downloads/data-use-agreement-forms/copy_of_ADHDEA2017_data_download_agreement/resolveuid/d43df28b249d4717b6f127e7ab6286c7	NA	CHR SNP BP A1 A2 INFO OR SE P	NA	No	EFO_0003888	NA	NA	Attention deficit hyperactivity disorder - EUR	53293	EUR	NA	NA	b37/hg19	1	19099	PADHD	ADHD	Attention_Deficit_Hyperactivity_Disorder	Psychiatric_neurologic
pgc.scz2	http://www.ncbi.nlm.nih.gov/pubmed/25056061	scz2.snp.results.txt.gz	scz2.snp.results.txt.gz	https://www.med.unc.edu/pgc/downloads	PGC	https://www.med.unc.edu/pgc/files/resultfiles/scz2.snp.results.txt.gz	NA	NA	NA	Yes	EFO_0000692	HP:0100753	NA	Schizophrenia	150064	EUR:EAS	8/12/2015	NA	b37/hg19	1	36989	PSCZ	SCZ	Schizophrenia	Psychiatric_neurologic
RA_OKADA_TRANS_ETHNIC	http://www.ncbi.nlm.nih.gov/pubmed/24390342	RA_GWASmeta_TransEthnic_v2.txt.gz	RA_GWASmeta_TransEthnic_v2.txt.gz	http://plaza.umin.ac.jp/yokada/datasource/software.htm	RA_OKADA	http://plaza.umin.ac.jp/yokada/datasource/files/GWASMetaResults/RA_GWASmeta_TransEthnic_v2.txt.gz	NA	NA	NA	Yes	EFO_0000685	HP:0001370	NA	Rheumatoid Arthritis	80799	EUR:EAS	11/8/2013	NA	b37/hg19	1	19234	ORA	RA	Rheumatoid_Arthritis	Immune
SSGAC_Depressive_Symptoms	http://www.nature.com/ng/journal/vaop/ncurrent/full/ng.3552.html#access	DS_Full.txt.gz	DS_Full.txt.gz	https://www.thessgac.org	SSGAC	http://ssgac.org/documents/DS_Full.txt.gz	NA	MarkerName CHR POS A1 A2 EAF Beta SE Pval	NA	Yes	EFO_0007006	NA	NA	Depressive Symptoms	180866	NA	NA	A1	b36/hg18	0	NA	SDS	DEPR	Depressive_Symptoms	Psychiatric_neurologic
SSGAC_Education_Years_Pooled	http://www.nature.com/nature/journal/vaop/ncurrent/full/nature17671.html	EduYears_Main.txt.gz	EduYears_Main.txt.gz	https://www.thessgac.org	SSGAC	http://ssgac.org/documents/EduYears_Main.txt.gz	NA	MarkerName CHR POS A1 A2 EAF Beta SE Pval	NA	Yes	NA	NA	NA	Education years (Discovery and replication cohorts, genders pooled)	293723	NA	NA	NA	b37/hg19	0	NA	SEY	EDU	Education_Years	Psychiatric_neurologic
BCAC_ER_negative_BreastCancer_EUR	https://www.ncbi.nlm.nih.gov/pubmed/25890600	icogs_bcac_public_results_euro_ERNEG.txt.gz	icogs_bcac_public_results_euro.txt.gz	http://bcac.ccge.medschl.cam.ac.uk/	BCAC	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/icogs-complete-summary-results/	NA	var_name chr position_b37 a0 a1 phase3_1kg_id phase1_1kg_id bcac_icogs1_effect_allele bcac_icogs1_european_controls_eaf bcac_icogs1_european_r2 bcac_icogs1_risk_beta bcac_icogs1_risk_se bcac_icogs1_OR bcac_icogs1_risk_chi2 bcac_icogs1_risk_P1df bcac_icogs1_erneg_beta bcac_icogs1_erneg_se bcac_icogs1_erneg_OR bcac_icogs1_erneg_chi2 bcac_icogs1_erneg_P1df bcac_icogs1_erpos_beta bcac_icogs1_erpos_se bcac_icogs1_erpos_OR bcac_icogs1_erpos_chi2 bcac_icogs1_erpos_P1df bcac_icogs_survival_effect_allele bcac_icogs_survival_eaf bcac_icogs_survival_se bcac_icogs_survival_HR bcac_icogs_survival_chi2 bcac_icogs_survival_P1df bcac_icogs_survival_erneg_effect_allele bcac_icogs_survival_erneg_eaf bcac_icogs_survival_erneg_se bcac_icogs_survival_erneg_HR bcac_icogs_survival_erneg_chi2 bcac_icogs_survival_erneg_P1df bcac_icogs_survival_erpos_effect_allele bcac_icogs_survival_erpos_eaf bcac_icogs_survival_erpos_se bcac_icogs_survival_erpos_HR bcac_icogs_survival_erpos_chi2 bcac_icogs_survival_erpos_P1df bcac_icogs_gt_effect_allele bcac_icogs_gt_freq_controls bcac_icogs_gt_beta bcac_icogs_gt_se bcac_icogs_gt_OR bcac_icogs_gt_chi2 bcac_icogs_gt_P1df bcac_icogs_gt_erneg_beta bcac_icogs_gt_erneg_se bcac_icogs_gt_erneg_OR bcac_icogs_gt_erneg_chi2 bcac_icogs_gt_erneg_P1df bcac_icogs_gt_erpos_beta bcac_icogs_gt_erpos_se bcac_icogs_gt_erpos_OR bcac_icogs_gt_erpos_chi2 bcac_icogs_gt_erpos_P1df	NA	Yes	EFO_10006450	NA	NA	Estrogen-receptor-negative breast cancer in Europeans, imputed genotype	120000	EUR	NA	NA	b37/hg19	1	31000	BCN	ERNBC	ER-negative_Breast_Cancer	Cancer
BCAC_ER_positive_BreastCancer_EUR	https://www.ncbi.nlm.nih.gov/pubmed/25890600	icogs_bcac_public_results_euro_ERPOS.txt.gz	icogs_bcac_public_results_euro.txt.gz	http://bcac.ccge.medschl.cam.ac.uk/	BCAC	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/icogs-complete-summary-results/	NA	var_name chr position_b37 a0 a1 phase3_1kg_id phase1_1kg_id bcac_icogs1_effect_allele bcac_icogs1_european_controls_eaf bcac_icogs1_european_r2 bcac_icogs1_risk_beta bcac_icogs1_risk_se bcac_icogs1_OR bcac_icogs1_risk_chi2 bcac_icogs1_risk_P1df bcac_icogs1_erneg_beta bcac_icogs1_erneg_se bcac_icogs1_erneg_OR bcac_icogs1_erneg_chi2 bcac_icogs1_erneg_P1df bcac_icogs1_erpos_beta bcac_icogs1_erpos_se bcac_icogs1_erpos_OR bcac_icogs1_erpos_chi2 bcac_icogs1_erpos_P1df bcac_icogs_survival_effect_allele bcac_icogs_survival_eaf bcac_icogs_survival_se bcac_icogs_survival_HR bcac_icogs_survival_chi2 bcac_icogs_survival_P1df bcac_icogs_survival_erneg_effect_allele bcac_icogs_survival_erneg_eaf bcac_icogs_survival_erneg_se bcac_icogs_survival_erneg_HR bcac_icogs_survival_erneg_chi2 bcac_icogs_survival_erneg_P1df bcac_icogs_survival_erpos_effect_allele bcac_icogs_survival_erpos_eaf bcac_icogs_survival_erpos_se bcac_icogs_survival_erpos_HR bcac_icogs_survival_erpos_chi2 bcac_icogs_survival_erpos_P1df bcac_icogs_gt_effect_allele bcac_icogs_gt_freq_controls bcac_icogs_gt_beta bcac_icogs_gt_se bcac_icogs_gt_OR bcac_icogs_gt_chi2 bcac_icogs_gt_P1df bcac_icogs_gt_erneg_beta bcac_icogs_gt_erneg_se bcac_icogs_gt_erneg_OR bcac_icogs_gt_erneg_chi2 bcac_icogs_gt_erneg_P1df bcac_icogs_gt_erpos_beta bcac_icogs_gt_erpos_se bcac_icogs_gt_erpos_OR bcac_icogs_gt_erpos_chi2 bcac_icogs_gt_erpos_P1df	NA	Yes	EFO_1000649	NA	NA	Estrogen-receptor-positive breast cancer in Europeans, imputed genotype	120000	EUR	NA	NA	b37/hg19	1	12000	BCP	ERPBC	ER-positive_Breast_Cancer	Cancer
